No.	Time	Source		Destination	Protocol Length	Info
7	0.005	localhost ()	remote ()	L2CAP	38	Sent Connection oriented channel
9	0.009	controller	host		HCI_EVT	34	Rcvd Number of Completed Packets
11	0.031	remote ()	localhost ()	L2CAP	37	Rcvd Connection oriented channel
25	8.098	host	controller		HCI_CMD	43	Sent Write Link Policy Settings
26	8.098	2.3.0	host			HCI_USB	28	Rcvd
27	8.100	controller	host		HCI_EVT	 35	Rcvd Command Complete (Write Link Policy Settings)
41	11.716	controller	host		HCI_EVT	 35	Rcvd Mode Change
55	15.628	host		controller	HCI_CMD	 41	Sent Exit Sniff Mode
56	15.628	2.3.0	host	HCI_USB	28	Rcvd
57	15.630	controller	host	HCI_EVT	33	Rcvd Command Status (Exit Sniff Mode)
59	15.630	host	controller	HCI_CMD	43	Sent Write Link Policy Settings
60	15.630	2.3.0	host	HCI_USB	28	Rcvd
61	15.632	controller	host	HCI_EVT	35	Rcvd Command Complete (Write Link Policy Settings)
63	15.687	controller	host	HCI_EVT	35	Rcvd Mode Change
65	15.687	localhost ()	remote ()	L2CAP	38	Sent Connection oriented channel
67	15.692	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
69	15.695	remote ()	localhost ()	L2CAP	40	Rcvd Connection oriented channel
70	15.695	localhost ()	remote ()	L2CAP	37	Sent Connection oriented channel
73	15.696	remote ()	localhost ()	L2CAP	37	Rcvd Connection oriented channel
75	15.701	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
77	15.708	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
79	15.716	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
81	15.720	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
83	15.725	remote ()	localhost ()	L2CAP	48	Rcvd Connection oriented channel
85	15.725	localhost ()	remote ()	L2CAP	57	Sent Connection oriented channel
87	15.727	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
89	15.730	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
91	15.740	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
93	15.747	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
95	15.749	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
97	15.757	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
99	15.770	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
101	15.777	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
103	15.779	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
105	15.787	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
107	15.800	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
109	15.807	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
111	15.809	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
113	15.817	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
115	15.830	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
117	15.840	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
118	15.841	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
121	15.847	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
123	15.849	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
125	15.857	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
127	15.870	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
129	15.880	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
131	15.881	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
133	15.888	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
135	15.901	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
137	15.909	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
139	15.910	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
141	15.917	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
143	15.930	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
145	15.938	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
147	15.940	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
149	15.952	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
151	15.960	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
153	15.967	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
155	15.970	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
157	15.978	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
159	15.990	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
161	15.997	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
163	15.999	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
165	16.007	controller	host	HCI_EVT	34	Rcvd Number of Completed Packets
167	16.009	localhost ()	remote ()	L2CAP	633	Sent Connection oriented channel
